GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,1000,20000,0.02,8,65,11,0,100.00,0.13,41425,94,Max. coverage
Springs,EDF,Uniform,Hard,1000,20000,0.02,8,67,12,0,100.00,0.12,35935,119,Max. coverage
Springs,EDF,Uniform,Hard,1000,50000,0.05,8,109,15,0,100.00,0.17,193646,123,Max. coverage
Springs,EDF,Uniform,Hard,1000,50000,0.05,7,153,7,0,100.00,0.10,464968,664,Max. coverage
Random,EDF,Uniform,Hard,2000,100000,0.03,7,506,9,0,80.64,0.05,5402306,78,Timeout
Random,EDF,Uniform,Hard,2000,100000,0.03,7,505,9,0,80.76,0.05,5404293,67,Timeout
Springs,EDF,Uniform,Hard,1000,100000,0.10,7,304,13,0,100.00,0.10,2406100,1182,Max. coverage
Random,EDF,Uniform,Hard,1000,100,0.00,8,44,8,0,100.00,0.00,1889,509,Max. coverage
Random,EDF,Uniform,Hard,1000,200,0.00,8,67,10,0,100.00,0.00,6552,656,Max. coverage
Random,EDF,Uniform,Hard,1000,500,0.00,8,80,11,0,100.00,0.00,21304,746,Max. coverage
Random,EDF,Uniform,Hard,1000,1000,0.00,8,95,14,0,100.00,0.00,52641,879,Max. coverage
Random,EDF,Uniform,Hard,1000,2000,0.00,8,103,15,0,100.00,0.01,112423,961,Max. coverage
Springs,EDF,Uniform,Hard,1000,100000,0.10,7,304,14,0,100.00,0.10,2449372,1178,Max. coverage
Random,EDF,Uniform,Hard,1000,100,0.00,8,46,7,0,100.00,0.00,2282,489,Max. coverage
Random,EDF,Uniform,Hard,1000,200,0.00,8,67,12,0,100.00,0.00,6364,635,Max. coverage
Random,EDF,Uniform,Hard,1000,500,0.00,8,79,12,0,100.00,0.00,21157,705,Max. coverage
Random,EDF,Uniform,Hard,1000,1000,0.00,8,92,14,0,100.00,0.00,52267,837,Max. coverage
Random,EDF,Uniform,Hard,1000,2000,0.00,8,99,13,0,100.00,0.01,117399,917,Max. coverage
Random,EDF,Uniform,Hard,1000,5000,0.01,8,111,15,0,100.00,0.02,296334,917,Max. coverage
Random,EDF,Uniform,Medium,1000,100000,0.10,7,235,11,0,95.79,0.03,5401732,2514,Timeout
Springs,EDF,Uniform,Hard,1000,100,0.00,9,21,8,0,100.00,0.00,41,49,Max. coverage
Springs,EDF,Uniform,Hard,1000,200,0.00,9,35,14,0,100.00,0.00,645,266,Max. coverage
Springs,EDF,Uniform,Hard,1000,500,0.00,8,32,5,0,100.00,0.01,1537,291,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,35,13,0,100.00,0.01,2200,242,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,35,14,0,100.00,0.03,6060,286,Max. coverage
