GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Random Comb.,None,Uniform,Medium,2000,2000,0.00,12,18,7,0,100.00,0.04,917,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,2000,0.00,12,17,8,0,100.00,0.04,863,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,2000,0.00,11,18,7,0,100.00,0.04,1671,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,2000,0.00,12,17,7,0,100.00,0.04,893,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,2000,0.00,11,17,6,0,100.00,0.04,1569,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,5000,0.00,12,20,8,0,100.00,0.08,5484,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,5000,0.00,12,18,7,0,100.00,0.09,3659,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,5000,0.00,12,20,7,0,100.00,0.08,5563,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,5000,0.00,12,19,8,0,100.00,0.08,4261,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,5000,0.00,12,19,6,0,100.00,0.08,3295,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,10000,0.00,12,26,8,0,100.00,0.11,17638,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,10000,0.00,12,22,8,0,100.00,0.13,14416,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,10000,0.00,12,24,9,0,100.00,0.12,16272,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,10000,0.00,12,25,10,0,100.00,0.11,19001,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,10000,0.00,12,24,8,0,100.00,0.12,16311,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,20000,0.00,12,29,10,0,100.00,0.18,58782,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,20000,0.00,12,27,10,0,100.00,0.20,53672,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,20000,0.00,12,28,9,0,100.00,0.19,53674,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,20000,0.00,12,29,10,0,100.00,0.18,52106,5000,Max. coverage
Random Comb.,None,Uniform,Medium,2000,20000,0.00,12,28,12,0,100.00,0.18,48925,5000,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.06,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.06,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.14,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.13,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.13,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.13,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.13,0,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,5000,0.50,12,1,1,0,100.00,0.63,1,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,5000,0.50,12,1,1,0,100.00,0.67,1,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,5000,0.50,12,1,1,0,100.00,0.67,1,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,5000,0.50,12,1,1,0,100.00,0.66,1,0,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,5000,0.50,12,2,2,0,100.00,0.20,11,12,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.76,46,12,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.77,46,12,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.77,46,12,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.76,45,12,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,10000,1.00,12,2,2,0,100.00,0.78,46,12,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,20000,2.00,12,4,4,0,100.00,0.85,433,41,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,20000,2.00,12,4,4,0,100.00,0.79,430,41,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,20000,2.00,12,4,4,0,100.00,0.85,433,41,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,20000,2.00,12,4,4,0,100.00,0.86,437,41,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,100,20000,2.00,12,4,4,0,100.00,0.86,404,38,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,1000,0.00,12,3,3,0,100.00,0.12,13,56,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,1000,0.00,12,3,3,0,100.00,0.12,10,46,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,1000,0.00,12,4,4,0,100.00,0.08,16,66,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,1000,0.00,12,4,4,0,100.00,0.08,14,57,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,1000,0.00,12,3,3,0,100.00,0.12,13,56,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,2000,0.00,12,4,4,0,100.00,0.15,30,56,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,2000,0.00,12,4,4,0,100.00,0.16,31,57,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,2000,0.00,12,4,4,0,100.00,0.16,33,60,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,2000,0.00,12,4,4,0,100.00,0.16,32,58,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,2000,0.00,12,4,4,0,100.00,0.17,30,55,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,5000,0.01,12,5,5,0,100.00,0.27,136,77,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,5000,0.01,12,5,5,0,100.00,0.26,112,62,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,5000,0.01,12,5,5,0,100.00,0.28,121,69,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,5000,0.01,12,5,5,0,100.00,0.27,135,77,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,5000,0.01,12,5,5,0,100.00,0.28,135,75,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,10000,0.01,12,7,7,0,100.00,0.39,592,108,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,10000,0.01,12,7,7,0,100.00,0.39,658,117,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,10000,0.01,12,7,7,0,100.00,0.38,600,106,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,10000,0.01,12,8,8,0,100.00,0.31,650,117,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,10000,0.01,12,7,7,0,100.00,0.41,609,110,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,20000,0.02,12,11,11,0,100.00,0.41,3118,168,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,20000,0.02,12,12,12,0,100.00,0.35,3247,179,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,20000,0.02,12,11,11,0,100.00,0.40,2889,160,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,20000,0.02,12,12,12,0,100.00,0.37,3241,179,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,20000,0.02,12,11,11,0,100.00,0.43,2992,165,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,2000,1000,0.00,12,9,9,0,100.00,0.04,65,164,Max. coverage
