ID,X,Y,Channel,UF,Connected EDs
127,-50.89,486.47,3600,18000,50.14,7
128,-289.12,-26.11,3600,18006,58.11,7
129,-406.08,-400.44,3600,18004,305.54,10
130,-198.24,157.12,3600,18006,146.55,9
131,-368.30,-448.49,3600,18004,339.10,10
132,-42.28,280.87,3600,18000,173.10,9
133,-57.44,-380.89,3600,18004,347.00,10
134,78.63,29.90,3600,18002,84.13,8
135,-138.08,-195.71,3600,18004,166.15,9
136,-23.42,-330.18,3600,18002,331.01,10
137,25.75,118.93,3600,18002,121.68,8
138,-266.34,329.81,3600,18000,217.73,9
139,-401.16,423.73,3600,18000,318.12,10
140,-18.27,-274.51,3600,18002,275.12,10
141,-209.17,-142.81,3600,18004,80.03,8
142,-155.75,314.91,3600,18000,151.93,9
143,-463.67,-242.53,3600,18010,191.15,9
144,125.96,336.10,3600,18008,49.21,7
145,-278.99,-301.98,3600,18004,182.52,9
146,-390.27,174.61,3600,18006,198.60,9
147,219.46,-299.65,3600,18001,140.88,9
148,-184.34,-65.99,3600,18004,114.71,8
149,-114.25,32.85,3600,18002,118.88,8
150,55.40,-485.42,3600,18003,258.91,10
151,-117.83,-194.59,3600,18004,183.92,9
152,-239.56,149.66,3600,18006,126.99,9
153,419.59,185.99,3600,18005,268.61,10
154,197.85,-188.05,3600,18001,215.27,9
155,-494.00,32.96,3600,18007,128.77,9
156,118.45,142.69,3600,18002,185.45,9
157,-99.29,-137.85,3600,18002,169.88,9
158,301.90,177.81,3600,18008,197.22,9
159,-467.11,-436.44,3600,18004,365.08,10
160,-312.38,118.96,3600,18006,107.94,8
161,67.83,-498.87,3600,18003,248.78,9
162,-194.76,-238.43,3600,18004,149.68,9
163,357.56,-318.84,3600,18001,15.23,7
164,167.34,379.01,3600,18008,51.10,7
165,-186.77,385.01,3600,18000,120.95,8
166,-342.86,3.46,3600,18007,50.02,7
167,175.65,404.17,3600,18008,75.76,8
168,-105.48,206.07,3600,18002,231.49,9
169,47.40,238.96,3600,18008,155.49,9
170,-266.88,426.58,3600,18000,184.19,9
171,433.42,-5.59,3600,18005,76.56,8
172,439.13,299.65,3600,18009,230.47,9
173,94.50,157.20,900,18002,183.42,9
174,435.85,-175.46,3600,18005,93.39,8
175,89.16,137.77,3600,18002,164.10,9
176,275.42,294.91,3600,18008,106.27,8
177,104.38,-29.44,3600,18002,108.45,8
178,295.49,365.09,3600,18009,80.53,8
179,164.41,-87.52,3600,18002,186.26,9
180,96.90,145.60,3600,18002,174.90,9
181,-351.66,79.02,3600,18006,106.40,8
