ID,X,Y,Channel,UF,Connected EDs
131,-368.30,-448.49,3600,8002,42.76,7
132,-42.28,280.87,3600,8000,314.83,10
133,-57.44,-380.89,3600,8005,54.75,7
134,78.63,29.90,3600,8004,130.49,9
135,-138.08,-195.71,3600,8006,200.42,9
136,-23.42,-330.18,3600,8005,97.77,8
137,25.75,118.93,3600,8004,179.56,9
138,-266.34,329.81,3600,8000,89.66,8
139,-401.16,423.73,3600,8000,74.75,8
140,-18.27,-274.51,3600,8006,72.11,8
141,-209.17,-142.81,3600,8006,285.92,10
142,-155.75,314.91,3600,8000,196.43,9
143,-463.67,-242.53,3600,8002,256.45,10
144,125.96,336.10,3600,8004,269.60,10
145,-278.99,-301.98,3600,8002,214.16,9
146,-390.27,174.61,3600,8001,141.34,9
147,219.46,-299.65,3600,8006,172.23,9
148,-184.34,-65.99,3600,8001,274.01,10
149,-114.25,32.85,3600,8004,317.67,10
150,55.40,-485.42,3600,8005,102.35,8
151,-117.83,-194.59,3600,8006,181.71,9
152,-239.56,149.66,3600,8001,224.96,9
153,419.59,185.99,3600,8003,168.91,9
154,197.85,-188.05,3600,8006,162.02,9
155,-494.00,32.96,3600,8001,57.99,7
156,118.45,142.69,3600,8004,105.01,8
157,-99.29,-137.85,3600,8006,193.85,9
158,301.90,177.81,3600,8004,143.12,9
159,-467.11,-436.44,3600,8002,95.13,8
160,-312.38,118.96,3600,8001,146.60,9
161,67.83,-498.87,3600,8005,120.27,8
162,-194.76,-238.43,3600,8006,247.73,9
163,357.56,-318.84,3600,8006,311.26,10
164,167.34,379.01,3600,8004,303.84,10
165,-186.77,385.01,3600,8000,154.92,9
166,-342.86,3.46,3600,8001,100.98,8
167,175.65,404.17,3600,8004,328.14,10
168,-105.48,206.07,3600,8000,292.42,10
169,47.40,238.96,3600,8004,222.79,9
170,-266.88,426.58,3600,8000,88.75,8
171,433.42,-5.59,3600,8003,29.50,7
172,439.13,299.65,3600,8003,280.20,10
173,94.50,157.20,900,8004,132.82,9
174,435.85,-175.46,3600,8003,195.50,9
175,89.16,137.77,3600,8004,126.72,9
176,275.42,294.91,3600,8004,230.52,9
177,104.38,-29.44,3600,8004,143.28,9
178,295.49,365.09,3600,8004,303.43,10
179,164.41,-87.52,3600,8004,168.36,9
180,96.90,145.60,3600,8004,124.14,8
181,-351.66,79.02,3600,8001,93.01,8
182,200.91,18.15,3600,8004,58.82,7
183,15.05,-387.35,3600,8005,59.91,7
184,10.35,-451.50,3600,8005,46.10,7
185,-115.34,137.66,3600,8004,321.46,10
186,-356.02,-86.92,3600,8001,151.23,9
187,-93.23,-482.54,3600,8005,84.28,8
188,73.72,312.95,3600,8004,267.81,10
189,-53.26,-22.64,900,8006,258.68,10
190,-441.28,-425.74,3600,8002,82.20,8
191,97.28,-277.40,3600,8006,48.80,7
192,130.24,423.51,3600,8004,353.57,10
193,-37.15,-61.44,3600,8006,216.68,9
194,452.66,448.91,3600,8003,429.31,10
195,267.01,-166.43,3600,8006,233.93,9
196,-280.86,-22.45,3600,8001,168.17,9
197,-33.83,384.32,3600,8000,307.78,10
198,-316.23,-41.96,3600,8001,146.21,9
199,266.45,404.78,3600,8004,334.42,10
200,261.61,463.50,3600,8004,391.37,10
201,-97.62,60.78,3600,8004,298.40,10
202,122.17,-308.97,3600,8006,86.11,8
203,-139.89,153.88,3600,8000,301.95,10
204,-289.31,106.54,3600,8001,161.16,9
205,-390.22,-126.44,3600,8001,173.81,9
206,146.52,92.69,3600,8004,56.07,7
207,96.34,-441.14,3600,8005,126.22,9
208,63.62,-257.37,3600,8006,11.59,7
209,-156.16,-490.93,3600,8005,141.82,9
210,101.43,270.69,3600,8004,217.51,9
211,433.27,-326.94,3600,8003,346.90,10
212,-12.28,295.23,3600,8004,304.71,10
213,465.68,-344.66,3600,8003,364.67,10
214,382.20,-133.97,3600,8003,167.38,9
215,247.64,-24.19,3600,8004,111.67,8
216,446.64,-377.67,3600,8003,397.29,10
217,123.19,218.67,3600,8004,161.34,9
218,-315.93,-217.72,3600,8002,278.53,10
219,-297.02,126.13,3600,8001,163.43,9
220,-373.33,-272.45,3600,8002,215.09,9
221,-486.13,-339.18,3600,8002,178.31,9
222,-38.15,148.55,3600,8004,249.00,9
223,-399.14,114.23,3600,8001,82.18,8
224,-106.25,-3.57,3600,8006,300.44,10
225,-206.82,-255.93,3600,8005,247.16,9
226,66.16,-309.29,3600,8006,52.33,7
227,-68.16,313.90,3600,8000,280.96,10
228,-143.62,497.97,3600,8000,231.14,9
229,23.55,-299.05,3600,8006,49.31,7
230,199.79,-172.38,3600,8006,171.13,9
231,146.71,-158.52,3600,8006,137.91,9
232,266.70,303.33,3600,8004,235.89,9
233,181.92,404.19,3600,8004,327.74,10
234,252.48,-202.07,3600,8006,208.25,9
235,-310.94,91.11,3600,8001,135.24,9
236,-398.55,-342.72,3600,8002,144.90,9
237,-363.83,89.12,3600,8001,87.18,8
238,389.55,445.50,3600,8004,414.27,10
239,425.22,-30.95,3600,8003,55.77,7
240,87.01,-331.16,3600,8006,80.26,8
241,-23.65,315.55,3600,8000,324.11,10
242,26.52,82.25,3600,8004,173.90,9
243,-274.76,-235.83,3600,8002,275.07,10
244,38.18,-483.35,3600,8005,87.32,8
245,-152.45,-294.29,3600,8005,181.71,9
246,-99.01,-192.83,3600,8006,164.94,9
247,145.13,-56.66,3600,8004,144.58,9
248,203.19,-167.11,3600,8006,176.75,9
249,259.21,-241.89,3600,8006,207.78,9
250,-483.82,345.12,3600,8000,146.16,9
251,100.76,-178.52,3600,8006,93.93,8
252,26.83,348.00,3600,8004,321.82,10
253,-243.77,-426.76,3600,8002,155.07,9
254,389.81,111.41,3600,8003,109.08,8
255,321.33,458.96,3600,8004,400.70,10
256,-156.04,-140.06,3600,8006,239.69,9
257,-476.14,-494.92,3600,8002,89.86,8
258,-207.11,208.26,3600,8000,217.02,9
259,7.41,-32.53,3600,8004,221.83,9
260,-309.02,-16.35,3600,8001,139.89,9
261,-456.61,-415.59,3600,8002,100.09,8
262,211.35,111.24,3600,8004,36.00,7
263,461.57,367.47,3600,8003,348.09,10
264,-24.05,257.28,3600,8004,287.87,10
265,-493.02,78.61,3600,8001,67.79,8
266,243.73,422.57,3600,8004,348.32,10
267,287.64,446.44,3600,8004,379.65,10
268,-225.10,-260.68,3600,8005,257.51,10
269,-404.96,246.73,3600,8000,146.34,9
270,-326.70,437.71,3600,8000,60.93,7
271,-403.32,481.11,3600,8000,119.66,8
272,-158.46,192.46,3600,8000,261.11,10
273,-65.60,154.03,3600,8004,276.88,10
274,100.49,-370.02,3600,8006,121.21,8
275,-122.00,-363.04,3600,8005,113.17,8
276,-385.54,380.68,3600,8000,44.03,7
277,-289.14,168.33,3600,8001,194.76,9
278,-187.66,443.22,3600,8000,166.91,9
279,-377.91,-461.74,3600,8002,26.84,7
280,-100.70,-288.43,3600,8006,155.66,9
281,-339.84,-191.75,3600,8001,252.12,10
282,-494.57,149.79,3600,8001,123.22,8
283,-38.05,-415.82,3600,8005,14.90,7
284,285.93,184.68,3600,8004,137.58,9
285,367.20,-437.33,3600,8006,362.09,10
286,27.07,-322.87,3600,8006,68.72,8
287,-390.48,-112.00,3600,8001,159.86,9
288,138.41,200.34,3600,8004,138.05,9
289,-93.38,322.43,3600,8000,254.46,10
290,421.55,-278.27,3600,8003,299.13,10
291,-125.80,-118.11,3600,8006,226.88,9
292,307.96,-112.68,3600,8003,193.19,9
293,434.18,349.27,3600,8003,329.98,10
294,214.43,135.20,3600,8004,59.92,7
295,124.66,2.40,3600,8004,106.24,8
296,171.84,-470.52,3600,8005,205.51,9
297,99.71,-361.00,3600,8006,112.66,8
298,-304.10,277.41,3600,8000,107.92,8
299,235.31,-315.97,3600,8006,191.88,9
300,-187.01,-394.42,3600,8005,161.32,9
301,-397.77,-20.22,3600,8001,72.55,8
302,-300.28,-212.26,3600,8001,287.67,10
303,447.00,-278.08,3600,8003,297.70,10
304,278.46,436.35,3600,8004,367.78,10
305,-205.40,61.01,3600,8001,232.03,9
306,373.41,-267.15,3600,8003,296.50,10
307,129.36,332.55,3600,8004,265.26,10
308,273.30,-471.55,3600,8005,305.62,10
309,117.58,263.76,3600,8004,204.31,9
310,-215.71,-423.25,3600,8002,182.45,9
311,-327.28,-321.01,3600,8002,176.40,9
312,-56.96,-121.29,3600,8006,175.58,9
313,-399.31,-174.29,3600,8001,218.56,9
314,107.60,-395.83,3600,8005,140.45,9
315,249.72,-101.22,3600,8004,184.90,9
316,-105.76,-227.81,3600,8006,160.92,9
317,-431.77,401.55,3600,8000,93.08,8
318,381.23,174.85,3600,8003,169.28,9
319,-28.36,-207.57,3600,8006,95.45,8
320,-253.93,76.72,3600,8001,186.09,9
321,-373.92,249.44,3600,8000,133.17,9
322,-14.13,-307.51,3600,8006,82.20,8
323,-366.61,-206.83,3600,8001,257.58,10
324,-497.17,400.77,3600,8000,157.18,9
325,308.62,150.49,3600,8004,130.88,9
326,-324.59,-455.27,3600,8002,69.73,8
327,275.06,-387.04,3600,8006,257.14,10
328,-292.74,494.20,3600,8000,125.46,9
329,167.91,-34.17,3600,8004,115.76,8
330,392.32,211.91,3600,8003,200.40,9
331,-306.51,337.99,3600,8000,53.66,7
332,173.65,-176.15,3600,8006,147.01,9
333,32.51,-42.76,3600,8004,206.15,9
334,217.09,-39.93,3600,8004,118.09,8
335,-494.16,-231.32,3600,8002,277.50,10
336,193.37,-55.90,3600,8004,133.05,9
337,153.09,-280.85,3600,8006,103.32,8
338,14.35,-73.59,3600,8006,189.10,9
339,-449.53,-405.68,3600,8002,102.92,8
340,379.01,486.64,3600,8004,446.95,10
341,-215.72,-319.86,3600,8005,215.51,9
342,-61.01,353.78,3600,8000,281.65,10
343,286.19,-113.70,3600,8004,209.10,9
344,-73.45,-396.61,3600,8005,54.14,7
345,467.69,-390.77,3600,8003,410.82,10
346,-340.68,302.60,3600,8000,76.02,8
347,-104.32,-44.31,3600,8006,265.54,10
348,245.01,470.04,3600,8004,395.61,10
349,-411.47,-479.49,3600,8002,26.01,7
350,397.88,399.52,3600,8004,378.24,10
351,-80.86,-316.20,3600,8005,122.97,8
