ID,X,Y,Channel,UF,Connected EDs
127,-50.89,486.47,4000,50000,146.90,9
128,-289.12,-26.11,3200,50005,55.91,7
129,-406.08,-400.44,8000,50001,100.47,8
130,-198.24,157.12,3200,50010,126.28,9
131,-368.30,-448.49,16000,50001,143.38,9
132,-42.28,280.87,4000,50000,87.13,8
133,-57.44,-380.89,4000,50009,67.13,8
134,78.63,29.90,4000,50008,71.83,8
135,-138.08,-195.71,3200,50009,146.29,9
136,-23.42,-330.18,4000,50009,87.21,8
137,25.75,118.93,4000,50008,90.54,8
138,-266.34,329.81,16000,50002,73.22,8
139,-401.16,423.73,16000,50002,99.12,8
140,-18.27,-274.51,3200,50009,112.43,8
141,-209.17,-142.81,3200,50005,196.57,9
142,-155.75,314.91,4000,50000,167.99,9
143,-463.67,-242.53,3200,50001,109.41,8
144,125.96,336.10,8000,50000,118.91,8
145,-278.99,-301.98,4000,50001,95.07,8
146,-390.27,174.61,3200,50005,172.90,9
147,219.46,-299.65,8000,50003,99.57,8
148,-184.34,-65.99,16000,50005,164.96,9
149,-114.25,32.85,16000,50010,97.23,8
150,55.40,-485.42,8000,50009,220.80,9
151,-117.83,-194.59,4000,50009,144.92,9
152,-239.56,149.66,4000,50005,163.61,9
153,419.59,185.99,3200,50004,160.31,9
154,197.85,-188.05,4000,50003,92.76,8
155,-494.00,32.96,3200,50005,165.97,9
156,118.45,142.69,4000,50008,158.36,9
157,-99.29,-137.85,4000,50008,198.89,9
158,301.90,177.81,16000,50004,142.00,9
159,-467.11,-436.44,4000,50001,160.89,9
160,-312.38,118.96,4000,50005,107.46,8
161,67.83,-498.87,16000,50009,239.03,9
162,-194.76,-238.43,4000,50009,131.67,9
163,357.56,-318.84,8000,50007,13.24,7
164,167.34,379.01,4000,50000,161.51,9
165,-186.77,385.01,16000,50002,155.01,9
166,-342.86,3.46,3200,50005,16.52,7
167,175.65,404.17,16000,50006,163.91,9
168,-105.48,206.07,3200,50010,88.30,8
169,47.40,238.96,3200,50000,119.62,8
170,-266.88,426.58,4000,50002,105.55,8
171,433.42,-5.59,4000,50004,99.32,8
172,439.13,299.65,3200,50006,119.63,8
173,94.50,157.20,3200,50008,154.18,9
174,435.85,-175.46,3200,50007,169.08,9
175,89.16,137.77,3200,50008,135.33,9
176,275.42,294.91,8000,50006,74.95,8
177,104.38,-29.44,16000,50008,114.45,8
178,295.49,365.09,3200,50006,38.31,7
179,164.41,-87.52,4000,50003,168.63,9
180,96.90,145.60,4000,50008,146.26,9
181,-351.66,79.02,16000,50005,69.89,8
182,200.91,18.15,3200,50004,148.08,9
183,15.05,-387.35,8000,50009,134.10,9
184,10.35,-451.50,3200,50009,164.64,9
185,-115.34,137.66,8000,50010,41.41,7
186,-356.02,-86.92,16000,50005,103.28,8
187,-93.23,-482.54,4000,50009,144.23,9
188,73.72,312.95,4000,50000,76.32,8
189,-53.26,-22.64,3200,50008,80.12,8
190,-441.28,-425.74,4000,50001,138.02,9
191,97.28,-277.40,16000,50003,42.11,7
192,130.24,423.51,4000,50000,141.56,9
193,-37.15,-61.44,3200,50008,101.80,8
194,452.66,448.91,3200,50006,160.00,9
195,267.01,-166.43,4000,50003,160.73,9
196,-280.86,-22.45,3200,50005,59.88,7
197,-33.83,384.32,3200,50000,52.98,7
198,-316.23,-41.96,3200,50005,56.31,7
199,266.45,404.78,8000,50006,85.34,8
200,261.61,463.50,8000,50006,134.70,9
201,-97.62,60.78,4000,50010,65.20,8
202,122.17,-308.97,8000,50003,56.83,7
203,-139.89,153.88,3200,50010,70.46,8
204,-289.31,106.54,3200,50005,101.87,8
205,-390.22,-126.44,16000,50005,152.03,9
206,146.52,92.69,4000,50008,152.98,9
207,96.34,-441.14,4000,50003,191.49,9
208,63.62,-257.37,16000,50003,68.06,8
209,-156.16,-490.93,3200,50009,158.45,9
210,101.43,270.69,3200,50000,123.74,8
211,433.27,-326.94,8000,50007,67.63,8
212,-12.28,295.23,4000,50000,60.27,7
213,465.68,-344.66,8000,50007,101.17,8
214,382.20,-133.97,3200,50004,180.59,9
215,247.64,-24.19,8000,50004,119.91,8
216,446.64,-377.67,3200,50007,94.31,8
217,123.19,218.67,3200,50000,176.09,9
218,-315.93,-217.72,16000,50001,105.02,8
219,-297.02,126.13,16000,50005,117.79,8
220,-373.33,-272.45,3200,50001,32.78,7
221,-486.13,-339.18,16000,50001,117.16,8
222,-38.15,148.55,3200,50010,46.55,7
223,-399.14,114.23,16000,50005,123.16,8
224,-106.25,-3.57,8000,50008,118.05,8
225,-206.82,-255.93,3200,50009,127.67,9
226,66.16,-309.29,16000,50003,86.32,8
227,-68.16,313.90,3200,50000,85.23,8
228,-143.62,497.97,16000,50000,210.58,9
229,23.55,-299.05,4000,50003,117.43,8
230,199.79,-172.38,3200,50003,105.56,8
231,146.71,-158.52,16000,50003,95.61,8
232,266.70,303.33,4000,50006,76.33,8
233,181.92,404.19,8000,50006,158.06,9
234,252.48,-202.07,3200,50003,131.20,9
235,-310.94,91.11,16000,50005,80.40,8
236,-398.55,-342.72,16000,50001,44.82,7
237,-363.83,89.12,16000,50005,83.76,8
238,389.55,445.50,16000,50006,115.45,8
239,425.22,-30.95,8000,50004,107.82,8
240,87.01,-331.16,4000,50003,90.03,8
241,-23.65,315.55,3200,50000,48.30,7
242,26.52,82.25,4000,50008,55.49,7
243,-274.76,-235.83,4000,50001,121.09,8
244,38.18,-483.35,3200,50009,206.75,9
245,-152.45,-294.29,4000,50009,61.78,7
246,-99.01,-192.83,4000,50009,146.90,9
247,145.13,-56.66,8000,50008,163.44,9
248,203.19,-167.11,16000,50003,111.79,8
249,259.21,-241.89,4000,50003,128.15,9
250,-483.82,345.12,3200,50002,146.57,9
251,100.76,-178.52,4000,50003,80.51,8
252,26.83,348.00,8000,50000,19.13,7
253,-243.77,-426.76,4000,50009,159.70,9
254,389.81,111.41,4000,50004,80.67,8
255,321.33,458.96,4000,50006,112.21,8
256,-156.04,-140.06,16000,50009,204.47,9
257,-476.14,-494.92,8000,50001,215.45,9
258,-207.11,208.26,3200,50010,155.99,9
259,7.41,-32.53,16000,50008,62.92,8
260,-309.02,-16.35,3200,50005,35.51,7
261,-456.61,-415.59,16000,50001,137.85,9
262,211.35,111.24,16000,50004,151.67,9
263,461.57,367.47,16000,50006,133.85,9
264,-24.05,257.28,3200,50000,99.98,8
265,-493.02,78.61,4000,50005,176.49,9
266,243.73,422.57,16000,50006,114.13,8
267,287.64,446.44,16000,50006,107.77,8
268,-225.10,-260.68,3200,50009,139.28,9
269,-404.96,246.73,8000,50002,121.75,8
270,-326.70,437.71,3200,50002,90.40,8
271,-403.32,481.11,3200,50002,148.65,9
272,-158.46,192.46,8000,50010,107.51,8
273,-65.60,154.03,8000,50010,33.39,7
274,100.49,-370.02,16000,50003,121.15,8
275,-122.00,-363.04,4000,50009,26.53,7
276,-385.54,380.68,4000,50002,58.32,7
277,-289.14,168.33,4000,50005,160.59,9
278,-187.66,443.22,3200,50002,177.39,9
279,-377.91,-461.74,4000,50001,156.56,9
280,-100.70,-288.43,8000,50009,51.74,7
281,-339.84,-191.75,8000,50001,118.50,8
282,-494.57,149.79,16000,50005,214.68,9
283,-38.05,-415.82,3200,50009,105.12,8
284,285.93,184.68,3200,50004,154.11,9
285,367.20,-437.33,16000,50007,108.04,8
286,27.07,-322.87,3200,50003,125.72,9
287,-390.48,-112.00,4000,50005,139.04,9
288,138.41,200.34,4000,50000,199.90,9
289,-93.38,322.43,4000,50000,105.70,8
290,421.55,-278.27,3200,50007,75.66,8
291,-125.80,-118.11,16000,50008,199.09,9
292,307.96,-112.68,4000,50004,160.58,9
293,434.18,349.27,3200,50006,104.92,8
294,214.43,135.20,4000,50004,161.30,9
295,124.66,2.40,4000,50008,121.13,8
296,171.84,-470.52,3200,50003,221.31,9
297,99.71,-361.00,16000,50003,112.67,8
298,-304.10,277.41,3200,50002,77.94,8
299,235.31,-315.97,4000,50003,121.43,8
300,-187.01,-394.42,3200,50009,94.58,8
301,-397.77,-20.22,8000,50005,76.07,8
302,-300.28,-212.26,4000,50001,118.65,8
303,447.00,-278.08,4000,50007,96.10,8
304,278.46,436.35,16000,50006,102.76,8
305,-205.40,61.01,4000,50005,132.89,9
306,373.41,-267.15,4000,50007,62.62,8
307,129.36,332.55,3200,50000,122.79,8
308,273.30,-471.55,4000,50007,169.62,9
309,117.58,263.76,3200,50000,140.57,9
310,-215.71,-423.25,3200,50009,134.87,9
311,-327.28,-321.01,8000,50001,49.32,7
312,-56.96,-121.29,4000,50008,164.53,9
313,-399.31,-174.29,3200,50001,133.36,9
314,107.60,-395.83,3200,50003,144.90,9
315,249.72,-101.22,8000,50004,173.99,9
316,-105.76,-227.81,4000,50009,111.58,8
317,-431.77,401.55,8000,50002,108.64,8
318,381.23,174.85,8000,50004,136.14,9
319,-28.36,-207.57,16000,50009,155.06,9
320,-253.93,76.72,8000,50005,98.77,8
321,-373.92,249.44,8000,50002,105.08,8
322,-14.13,-307.51,3200,50009,101.14,8
323,-366.61,-206.83,16000,50001,98.67,8
324,-497.17,400.77,8000,50002,168.40,9
325,308.62,150.49,4000,50004,113.98,8
326,-324.59,-455.27,3200,50001,157.97,9
327,275.06,-387.04,3200,50007,107.46,8
328,-292.74,494.20,4000,50002,152.89,9
329,167.91,-34.17,3200,50008,173.55,9
330,392.32,211.91,8000,50006,149.11,9
331,-306.51,337.99,16000,50002,32.34,7
332,173.65,-176.15,8000,50003,87.56,8
333,32.51,-42.76,4000,50008,77.53,8
334,217.09,-39.93,4000,50004,154.08,9
335,-494.16,-231.32,16000,50001,141.07,9
336,193.37,-55.90,16000,50004,182.67,9
337,153.09,-280.85,8000,50003,35.28,7
338,14.35,-73.59,8000,50008,104.25,8
339,-449.53,-405.68,3200,50001,125.68,9
340,379.01,486.64,4000,50006,148.20,9
341,-215.72,-319.86,8000,50009,107.35,8
342,-61.01,353.78,4000,50000,69.14,8
343,286.19,-113.70,16000,50004,168.15,9
344,-73.45,-396.61,4000,50009,68.05,8
345,467.69,-390.77,3200,50007,119.10,8
346,-340.68,302.60,8000,50002,45.46,7
347,-104.32,-44.31,4000,50008,133.89,9
348,245.01,470.04,3200,50006,149.11,9
349,-411.47,-479.49,16000,50001,178.25,9
350,397.88,399.52,16000,50006,86.38,8
351,-80.86,-316.20,16000,50009,37.31,7
352,278.39,122.79,16000,50004,105.05,8
353,-38.51,-91.02,8000,50008,129.59,9
354,101.83,335.53,4000,50000,95.14,8
355,-297.77,303.23,4000,50002,59.67,7
356,-428.68,462.55,8000,50002,146.60,9
357,-115.49,-141.76,3200,50009,197.62,9
358,416.85,-396.76,3200,50007,84.67,8
359,375.60,-308.23,3200,50007,23.29,7
360,428.68,-410.35,3200,50007,102.65,8
361,468.39,8.80,16000,50004,126.28,9
362,-311.75,-212.81,4000,50001,111.42,8
363,-238.11,248.68,16000,50002,140.31,9
364,221.82,-149.49,3200,50003,137.29,9
365,-214.85,52.74,4000,50005,121.16,8
366,457.71,124.06,4000,50004,137.25,9
367,-67.13,-491.43,3200,50009,158.09,9
368,-136.27,425.42,16000,50000,162.00,9
369,-235.38,301.02,8000,50002,112.18,8
370,-313.97,229.70,8000,50002,120.51,8
371,-493.05,198.10,3200,50002,216.13,9
372,-488.32,386.34,16000,50002,155.85,9
373,139.20,-351.77,3200,50003,99.15,8
374,175.69,370.05,8000,50006,155.30,9
375,47.72,-344.80,3200,50003,124.37,8
376,-277.02,-387.09,8000,50001,126.91,9
377,360.78,45.78,8000,50004,14.17,7
378,356.83,409.51,8000,50006,68.28,8
379,456.11,-325.86,16000,50007,90.49,8
380,-252.83,-139.84,3200,50005,170.72,9
381,127.88,-132.88,4000,50003,120.09,8
382,17.39,-121.20,4000,50008,151.96,9
383,194.09,-482.00,4000,50007,229.70,9
384,119.47,193.69,4000,50000,193.50,9
385,395.35,-258.59,4000,50007,76.68,8
386,223.98,-35.61,3200,50004,145.95,9
387,-323.34,-174.82,8000,50001,139.90,9
388,137.91,-318.00,16000,50003,65.39,8
389,-475.42,-361.89,8000,50001,116.18,8
390,-287.73,-114.72,3200,50005,134.13,9
