Method,Pos. distr.,Period distr., Map size, ED, Dens, Max. SF, GW, Channels, Coverage, Avg. UF, Elapsed, Iters, Exit cond.
Springs,Uniform,Soft,2000,100,0.00,12,3,1,100.00,0.00,0,43,Max. coverage
Springs,Uniform,Soft,2000,100,0.00,12,4,1,100.00,0.00,1,58,Max. coverage
Springs,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,1,46,Max. coverage
Springs,Uniform,Soft,2000,200,0.00,12,4,1,100.00,0.01,3,61,Max. coverage
Springs,Uniform,Soft,2000,500,0.00,12,3,1,100.00,0.02,5,49,Max. coverage
Springs,Uniform,Soft,2000,500,0.00,12,4,1,100.00,0.01,7,67,Max. coverage
Springs,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,13,61,Max. coverage
Springs,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,16,74,Max. coverage
Springs,Uniform,Soft,2000,2000,0.00,12,4,3,100.00,0.05,25,51,Max. coverage
Springs,Uniform,Soft,2000,2000,0.00,12,4,3,100.00,0.05,25,54,Max. coverage
Springs,Uniform,Soft,2000,5000,0.00,12,5,4,100.00,0.10,15,6,Max. coverage
Springs,Uniform,Soft,2000,5000,0.00,12,5,4,100.00,0.10,12,5,Max. coverage
Springs,Uniform,Soft,2000,10000,0.00,12,7,6,100.00,0.14,256,49,Max. coverage
Springs,Uniform,Soft,2000,10000,0.00,12,7,6,100.00,0.14,263,49,Max. coverage
Springs,Uniform,Soft,2000,20000,0.01,12,11,9,100.00,0.17,285,21,Max. coverage
Springs,Uniform,Soft,2000,20000,0.01,12,11,8,100.00,0.17,308,21,Max. coverage
Springs,Uniform,Soft,2000,50000,0.01,11,20,15,100.00,0.24,1858,24,Max. coverage
Springs,Uniform,Soft,2000,50000,0.01,11,20,13,100.00,0.24,2193,29,Max. coverage
Springs,Uniform,Soft,2000,100000,0.03,10,80,5,100.00,0.12,722,0,Max. coverage
Random,Uniform,Soft,2000,100,0.00,12,3,1,100.00,0.00,1,30,Max. coverage
Random,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,2,36,Max. coverage
Random,Uniform,Soft,2000,500,0.00,12,4,1,100.00,0.01,7,38,Max. coverage
Random,Uniform,Soft,2000,1000,0.00,12,5,1,100.00,0.02,22,56,Max. coverage
Random,Uniform,Soft,2000,2000,0.00,12,5,3,100.00,0.04,50,56,Max. coverage
Random,Uniform,Soft,2000,5000,0.00,12,6,4,100.00,0.08,55,14,Max. coverage
Springs,Uniform,Soft,2000,100000,0.03,10,80,7,100.00,0.12,733,0,Max. coverage
Random,Uniform,Soft,2000,100,0.00,12,4,1,100.00,0.00,1,44,Max. coverage
Random,Uniform,Soft,2000,200,0.00,12,3,1,100.00,0.01,1,26,Max. coverage
Random,Uniform,Soft,2000,500,0.00,12,3,1,100.00,0.02,6,36,Max. coverage
Random,Uniform,Soft,2000,1000,0.00,12,4,1,100.00,0.02,17,49,Max. coverage
Random,Uniform,Soft,2000,2000,0.00,12,6,2,100.00,0.03,63,65,Max. coverage
Random,Uniform,Soft,2000,5000,0.00,12,6,4,100.00,0.08,76,19,Max. coverage
Random,Uniform,Soft,2000,10000,0.00,12,10,6,100.00,0.10,709,61,Max. coverage
Random,Uniform,Soft,2000,10000,0.00,12,9,6,100.00,0.11,585,54,Max. coverage
Random,Uniform,Soft,2000,20000,0.01,12,13,8,100.00,0.15,1539,43,Max. coverage
Random,Uniform,Soft,2000,20000,0.01,12,15,8,100.00,0.13,2099,60,Max. coverage
Random,Uniform,Soft,2000,50000,0.01,11,23,15,100.00,0.21,6180,39,Max. coverage
Random,Uniform,Soft,2000,100000,0.03,10,80,5,100.00,0.12,702,0,Max. coverage
Springs,Uniform,Medium,2000,100,0.00,12,2,1,100.00,0.01,0,23,Max. coverage
Springs,Uniform,Medium,2000,200,0.00,12,3,1,100.00,0.01,1,38,Max. coverage
Springs,Uniform,Medium,2000,500,0.00,12,4,1,100.00,0.02,6,59,Max. coverage
Springs,Uniform,Medium,2000,1000,0.00,12,6,1,100.00,0.03,21,85,Max. coverage
Springs,Uniform,Medium,2000,2000,0.00,12,8,1,100.00,0.04,73,113,Max. coverage
Springs,Uniform,Medium,2000,5000,0.00,12,10,5,100.00,0.08,147,64,Max. coverage
Springs,Uniform,Medium,2000,10000,0.00,12,13,5,100.00,0.12,217,34,Max. coverage
Random,Uniform,Soft,2000,50000,0.01,11,23,14,100.00,0.21,7359,46,Max. coverage
Springs,Uniform,Medium,2000,20000,0.01,12,17,6,100.00,0.18,488,28,Max. coverage
Random,Uniform,Soft,2000,100000,0.03,10,80,5,100.00,0.12,1061,0,Max. coverage
Springs,Uniform,Medium,2000,100,0.00,12,2,1,100.00,0.01,0,23,Max. coverage
Springs,Uniform,Medium,2000,200,0.00,12,3,1,100.00,0.01,1,43,Max. coverage
Springs,Uniform,Medium,2000,500,0.00,12,5,1,100.00,0.02,8,82,Max. coverage
Springs,Uniform,Medium,2000,1000,0.00,12,5,1,100.00,0.03,18,77,Max. coverage
Springs,Uniform,Medium,2000,2000,0.00,12,7,2,100.00,0.04,55,92,Max. coverage
Springs,Uniform,Medium,2000,5000,0.00,12,9,5,100.00,0.08,136,63,Max. coverage
Springs,Uniform,Medium,2000,10000,0.00,12,12,5,100.00,0.13,188,30,Max. coverage
Springs,Uniform,Medium,2000,20000,0.01,12,18,7,100.00,0.17,1130,51,Max. coverage
Springs,Uniform,Medium,2000,50000,0.01,11,31,14,100.00,0.24,1612,17,Max. coverage
Springs,Uniform,Medium,2000,50000,0.01,11,34,10,100.00,0.22,4634,54,Max. coverage
Springs,Uniform,Medium,2000,100000,0.03,10,65,12,100.00,0.23,602,0,Max. coverage
Random,Uniform,Medium,2000,100,0.00,12,2,1,100.00,0.01,0,18,Max. coverage
Random,Uniform,Medium,2000,200,0.00,12,6,1,100.00,0.01,4,59,Max. coverage
Random,Uniform,Medium,2000,500,0.00,12,8,1,100.00,0.01,24,88,Max. coverage
Random,Uniform,Medium,2000,1000,0.00,12,8,1,100.00,0.02,54,91,Max. coverage
Random,Uniform,Medium,2000,2000,0.00,12,14,1,100.00,0.02,245,155,Max. coverage
