Method,Pos. distr.,Period distr., Map size, ED, Dens, Max. SF, GW, Channels, Coverage, Avg. UF, Elapsed, Iters, Exit cond.
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,0,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,8,22,Max. coverage
Springs,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,9,23,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,35,29,Max. coverage
Springs,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,40,33,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,150,49,Max. coverage
Springs,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,156,50,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,220,18,Max. coverage
Springs,Uniform,Soft,1000,20000,0.02,12,6,6,100.00,0.32,282,24,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,11,100.00,0.43,1867,31,Max. coverage
Springs,Uniform,Soft,1000,50000,0.05,12,11,10,100.00,0.43,1915,38,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,10,18,15,100.00,0.53,18219,56,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,2,10,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,9,17,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,56,28,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,299,54,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,7,100.00,0.27,743,32,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,12,100.00,0.40,3739,31,Max. coverage
Springs,Uniform,Soft,1000,100000,0.10,10,18,15,100.00,0.53,32142,100,Max. coverage
Random,Uniform,Soft,1000,100,0.00,12,1,1,100.00,0.01,0,0,Max. coverage
Random,Uniform,Soft,1000,200,0.00,12,1,1,100.00,0.02,0,0,Max. coverage
Random,Uniform,Soft,1000,500,0.00,12,1,1,100.00,0.05,0,0,Max. coverage
Random,Uniform,Soft,1000,1000,0.00,12,1,1,100.00,0.10,0,2,Max. coverage
Random,Uniform,Soft,1000,2000,0.00,12,2,2,100.00,0.10,11,19,Max. coverage
Random,Uniform,Soft,1000,5000,0.01,12,3,3,100.00,0.16,55,27,Max. coverage
Random,Uniform,Soft,1000,10000,0.01,12,4,4,100.00,0.24,224,43,Max. coverage
Random,Uniform,Soft,1000,20000,0.02,12,7,6,100.00,0.27,607,26,Max. coverage
Random,Uniform,Soft,1000,50000,0.05,12,12,12,100.00,0.40,3206,25,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,9,33,8,100.00,0.29,118984,214,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,12,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,3,1,100.00,0.03,3,44,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,2,2,100.00,0.08,3,24,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,15,37,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,69,52,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,5,100.00,0.25,309,78,Max. coverage
Springs,Uniform,Medium,1000,20000,0.02,12,9,8,100.00,0.34,1075,67,Max. coverage
Springs,Uniform,Medium,1000,50000,0.05,12,14,14,100.00,0.54,7624,103,Max. coverage
Random,Uniform,Soft,1000,100000,0.10,9,32,7,100.00,0.30,120917,206,Max. coverage
Springs,Uniform,Medium,1000,100,0.00,12,2,1,100.00,0.01,0,13,Max. coverage
Springs,Uniform,Medium,1000,200,0.00,12,2,1,100.00,0.02,0,24,Max. coverage
Springs,Uniform,Medium,1000,500,0.00,12,2,1,100.00,0.04,1,23,Max. coverage
Springs,Uniform,Medium,1000,1000,0.00,12,3,1,100.00,0.05,6,38,Max. coverage
Springs,Uniform,Medium,1000,2000,0.00,12,3,3,100.00,0.10,12,31,Max. coverage
Springs,Uniform,Medium,1000,5000,0.01,12,4,4,100.00,0.19,87,65,Max. coverage
Springs,Uniform,Medium,1000,10000,0.01,12,6,6,100.00,0.25,276,69,Max. coverage
