ID,X,Y,Channel,UF,Connected EDs
84,-152.88,-315.38,400,20000,58.59,7
85,127.16,230.73,800,20017,48.19,7
86,240.44,-297.79,320,20022,75.56,8
87,184.76,153.13,800,20010,26.25,7
88,32.44,-412.36,800,20044,76.36,8
89,377.38,186.12,1600,20006,43.79,7
90,-388.72,-138.40,400,20031,64.28,8
91,93.21,166.56,800,20002,47.11,7
92,275.77,-211.62,800,20043,78.41,8
93,-310.25,484.36,1600,20047,87.68,8
94,327.39,-168.52,1600,20043,44.54,7
95,-63.50,458.64,320,20019,42.88,7
96,264.87,199.08,1600,20032,50.22,7
97,185.79,-116.17,320,20040,89.65,8
98,443.05,416.27,320,20008,20.62,7
99,-296.45,293.66,400,20016,66.01,8
100,-202.71,404.93,320,20047,54.05,7
101,373.98,-1.86,400,20037,81.38,8
102,-337.24,-226.09,320,20024,72.64,8
103,-7.60,-36.34,320,20061,72.45,8
104,-4.02,-208.95,1600,20039,53.98,7
105,184.18,227.55,1600,20010,82.21,8
106,103.11,-7.58,320,20004,40.08,7
107,224.25,-321.79,1600,20015,80.45,8
108,-1.47,-378.74,1600,20053,73.13,8
109,-139.56,-175.19,320,20027,21.70,7
110,408.48,122.10,320,20049,58.96,7
111,318.13,-3.93,800,20037,34.27,7
112,-105.67,158.83,400,20018,76.76,8
113,-241.09,-348.77,1600,20020,56.67,7
114,-392.15,147.21,800,20003,61.13,7
115,-211.73,-168.61,1600,20060,53.22,7
116,-72.67,434.49,400,20019,42.28,7
117,-234.54,158.75,320,20056,70.05,8
118,-12.57,-342.73,320,20053,38.19,7
119,125.67,17.71,1600,20004,43.73,7
120,57.56,-73.80,320,20061,2.71,7
121,-105.61,-255.67,800,20039,75.87,8
122,229.36,138.65,320,20010,21.64,7
123,-161.76,397.56,1600,20045,54.52,7
124,-89.21,-494.59,320,20012,46.30,7
125,274.39,-206.32,1600,20043,73.73,8
126,365.53,221.01,1600,20006,71.76,8
127,-50.89,486.47,400,20019,61.43,7
128,-289.12,-26.11,320,20048,11.78,7
129,-406.08,-400.44,800,20052,52.94,7
130,-198.24,157.12,320,20018,48.66,7
131,-368.30,-448.49,1600,20033,51.37,7
132,-42.28,280.87,400,20023,9.69,7
133,-57.44,-380.89,400,20053,65.80,8
134,78.63,29.90,400,20004,81.32,8
135,-138.08,-195.71,320,20027,39.61,7
136,-23.42,-330.18,400,20053,21.84,7
137,25.75,118.93,400,20002,44.25,7
138,-266.34,329.81,1600,20051,75.38,8
139,-401.16,423.73,1600,20029,11.52,7
140,-18.27,-274.51,320,20053,48.34,7
141,-209.17,-142.81,320,20060,29.23,7
142,-155.75,314.91,400,20054,4.62,7
143,-463.67,-242.53,320,20024,69.24,8
144,125.96,336.10,800,20017,58.19,7
145,-278.99,-301.98,400,20038,38.34,7
146,-390.27,174.61,320,20035,52.44,7
147,219.46,-299.65,800,20015,76.30,8
148,-184.34,-65.99,1600,20060,62.53,8
149,-114.25,32.85,1600,20042,72.14,8
150,55.40,-485.42,800,20044,54.96,7
151,-117.83,-194.59,400,20027,50.81,7
152,-239.56,149.66,400,20056,61.61,7
153,419.59,185.99,320,20006,76.46,8
154,197.85,-188.05,400,20040,92.65,8
155,-494.00,32.96,320,20011,46.16,7
156,118.45,142.69,400,20002,51.80,7
157,-99.29,-137.85,400,20027,59.82,7
158,301.90,177.81,1600,20006,56.89,7
159,-467.11,-436.44,400,20050,7.09,7
160,-312.38,118.96,400,20056,17.42,7
161,67.83,-498.87,1600,20044,56.70,7
162,-194.76,-238.43,400,20007,61.26,7
163,357.56,-318.84,800,20022,46.70,7
164,167.34,379.01,400,20013,102.21,8
165,-186.77,385.01,1600,20045,52.77,7
166,-342.86,3.46,320,20041,31.16,7
167,175.65,404.17,1600,20036,85.69,8
168,-105.48,206.07,320,20018,66.75,8
169,47.40,238.96,320,20017,82.03,8
170,-266.88,426.58,400,20047,15.59,7
171,433.42,-5.59,400,20001,91.90,8
172,439.13,299.65,320,20025,14.82,7
173,94.50,157.20,320,20002,40.11,7
174,435.85,-175.46,320,20001,79.41,8
175,89.16,137.77,320,20002,23.02,7
176,275.42,294.91,800,20062,42.68,7
177,104.38,-29.44,1600,20004,35.91,7
178,295.49,365.09,320,20013,33.22,7
179,164.41,-87.52,400,20004,68.43,8
180,96.90,145.60,400,20002,33.80,7
181,-351.66,79.02,1600,20041,53.16,7
182,200.91,18.15,320,20004,74.03,8
183,15.05,-387.35,800,20053,89.78,8
184,10.35,-451.50,320,20044,87.93,8
185,-115.34,137.66,800,20057,66.09,8
186,-356.02,-86.92,1600,20046,7.94,7
187,-93.23,-482.54,400,20012,36.24,7
188,73.72,312.95,400,20017,57.33,7
189,-53.26,-22.64,320,20042,43.87,7
190,-441.28,-425.74,400,20050,32.95,7
191,97.28,-277.40,1600,20015,58.85,7
192,130.24,423.51,400,20055,66.87,8
