ID,X,Y,Channel,UF,Connected EDs
11,-391.19,498.92,0,0.00,1
23,-455.70,444.66,1,0.00,0
24,-275.43,462.87,2,0.00,0
16,-164.78,268.23,3,0.00,1
20,-358.61,106.96,4,0.00,1
17,-179.02,158.11,5,0.00,0
19,-458.20,34.47,6,0.00,0
22,-469.11,18.43,7,0.00,0
15,-135.21,13.40,1,0.00,1
14,-343.34,-98.74,2,0.00,1
10,53.97,-22.60,6,0.00,1
25,298.44,411.65,1,0.00,1
13,-257.11,-362.77,3,0.00,1
12,414.07,150.13,2,0.00,1
18,340.18,-105.63,3,0.00,1
21,40.51,-352.39,0,0.00,0
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,18,0.02,7
1,298.44,411.65,1600,25,0.00,7
2,-164.78,268.23,800,16,0.00,7
3,53.97,-22.60,400,10,0.00,7
4,-135.22,13.40,320,15,0.00,7
5,416.20,135.71,400,12,14.57,7
6,-358.40,106.97,1600,20,0.21,7
7,-257.11,-362.77,320,13,0.00,7
8,-343.32,-99.06,1600,14,0.31,7
9,-391.19,498.92,1600,11,0.00,7
