ID,X,Y,Channel,UF,Connected EDs
1052,17.30,23.58,0,0.01,16
1059,143.37,70.48,1,0.01,9
1045,39.39,-47.86,2,0.01,5
1048,111.48,-53.82,3,0.01,11
1021,26.50,-72.76,4,0.01,15
1009,203.96,28.08,5,0.02,15
1025,73.19,193.13,6,0.02,22
1039,-59.24,135.40,7,0.02,18
1043,206.08,109.29,8,0.01,17
1065,60.41,-148.66,9,0.01,8
1050,5.15,-145.07,10,0.01,10
1033,242.37,-55.94,11,0.01,12
1046,211.90,-98.28,12,0.01,10
1030,3.40,248.85,13,0.01,12
1011,-128.94,-58.54,14,0.02,19
1064,37.72,-188.57,15,0.01,11
1079,-140.83,181.01,16,0.02,18
1072,170.22,284.12,17,0.01,10
1012,217.77,-196.73,16,0.01,7
1037,-167.82,-123.15,17,0.01,9
1083,213.16,-206.00,13,0.01,7
1049,89.32,335.95,15,0.01,9
1022,378.11,21.60,14,0.02,22
1041,274.23,-196.49,18,0.01,13
1028,-102.11,320.30,11,0.02,20
1035,-246.33,137.50,12,0.03,27
1014,-146.45,-207.23,19,0.01,10
1051,253.85,-230.33,20,0.00,0
1018,-3.75,367.29,9,0.01,12
1075,244.73,-239.40,21,0.00,3
1038,381.49,151.17,19,0.02,19
1007,100.16,379.09,10,0.00,2
1085,-262.31,-60.91,18,0.00,4
1001,254.61,-250.38,22,0.01,5
1044,-103.03,-273.42,23,0.01,7
1071,296.36,324.52,18,0.02,14
1042,397.04,228.90,23,0.01,14
1002,-59.89,-317.52,6,0.01,8
1032,429.19,176.28,24,0.00,3
1006,105.36,430.10,4,0.00,0
1062,143.23,429.08,20,0.01,8
1063,-326.96,-19.82,5,0.01,5
1013,295.87,-284.59,7,0.01,10
1027,-329.57,-28.35,8,0.01,6
1047,-291.09,-143.22,11,0.01,13
1057,446.22,-92.61,25,0.02,24
1054,-58.02,-346.19,24,0.01,8
1080,456.51,158.15,9,0.01,5
1076,-347.92,72.42,20,0.01,19
1034,172.43,-360.52,26,0.02,23
1060,55.86,459.92,2,0.00,5
1074,-214.56,-282.68,1,0.01,14
1040,258.50,430.47,3,0.01,11
1023,374.08,-264.02,17,0.01,12
1055,-375.37,-83.34,13,0.02,17
1008,-103.77,469.73,5,0.01,13
1081,-353.99,246.18,1,0.02,18
1087,390.27,-293.67,27,0.01,9
1019,-181.63,-354.82,25,0.00,3
1000,-62.89,492.20,14,0.01,6
1010,402.07,370.94,7,0.01,12
1058,278.01,465.30,12,0.01,7
1086,-275.53,372.20,3,0.01,13
1069,-25.10,-423.42,5,0.01,8
1029,201.76,-415.79,8,0.01,10
1015,331.28,449.12,16,0.01,9
1026,178.91,-430.57,28,0.00,6
1077,-98.79,-433.41,27,0.01,10
1024,6.53,-463.39,29,0.02,14
1031,-280.17,422.72,19,0.02,15
1068,-224.26,-382.33,7,0.01,11
1061,-176.92,-411.18,30,0.01,10
1020,-327.41,-300.12,3,0.02,19
1089,-449.04,130.48,2,0.02,17
1017,-455.72,-12.90,9,0.02,16
1073,204.66,-463.65,14,0.01,4
1067,-324.14,420.81,17,0.01,10
1088,235.46,-475.16,31,0.01,6
1004,-398.89,-259.35,16,0.02,17
1066,437.53,455.46,11,0.01,7
1090,492.07,-316.87,1,0.01,7
1005,-479.82,188.26,4,0.01,6
1036,489.17,-349.17,2,0.00,4
1056,414.42,-440.38,0,0.01,14
1078,467.28,490.11,0,0.00,3
1053,-478.57,-286.90,10,0.01,8
1082,-455.11,446.82,6,0.02,17
1016,-353.99,-497.61,2,0.01,11
1070,-493.25,455.39,0,0.00,2
1084,-450.15,-433.55,4,0.02,19
1003,-420.54,-486.50,0,0.00,6
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,1057,106.82,8
1,298.44,411.65,1600,1040,44.15,7
2,-164.78,268.23,800,1028,81.48,8
3,53.97,-22.60,400,1045,29.16,7
4,-135.22,13.40,320,1011,72.22,8
5,416.20,135.71,400,1038,37.99,7
6,-358.40,106.97,1600,1076,36.10,7
7,-257.11,-362.77,320,1068,38.24,7
8,-343.32,-99.06,1600,1055,35.69,7
9,-391.19,498.92,1600,1082,82.46,8
10,12.93,339.11,400,1018,32.74,7
11,-203.97,137.55,400,1035,42.37,7
12,-6.42,472.78,800,1000,59.72,7
13,271.36,26.74,320,1009,67.42,8
14,-99.77,391.53,800,1028,71.27,8
15,-147.54,307.72,320,1028,47.14,7
16,-430.24,449.33,400,1082,24.99,7
17,-413.94,-307.79,400,1004,50.73,7
18,390.23,-151.11,1600,1057,80.97,8
19,-479.98,-42.30,1600,1017,38.11,7
20,-261.72,470.63,320,1031,51.34,7
21,350.92,-233.33,400,1023,38.45,7
22,-124.79,260.25,400,1028,64.19,8
23,167.72,31.61,1600,1009,36.40,7
24,-62.36,431.84,320,1008,56.13,7
25,220.95,-215.71,400,1083,12.45,7
26,139.98,-145.95,400,1065,79.61,8
27,-334.03,-59.90,320,1027,31.86,7
28,329.20,-169.66,1600,1041,61.17,7
29,393.37,-149.64,400,1057,77.75,8
30,456.47,88.64,400,1080,69.51,8
31,358.68,-60.44,320,1022,84.32,8
32,-101.56,314.77,400,1028,5.56,7
33,410.97,-17.51,1600,1022,51.08,7
34,450.25,420.13,1600,1066,37.55,7
35,381.06,141.08,800,1038,10.09,7
36,119.60,-218.94,320,1064,87.33,8
37,-192.54,-52.97,1600,1011,63.84,8
38,-312.47,-223.77,400,1020,77.80,8
39,-83.50,-330.39,320,1002,26.89,7
40,-396.83,-373.92,800,1084,79.99,8
41,260.48,484.75,320,1058,26.19,7
42,184.45,-116.81,400,1046,33.12,7
43,-131.34,-205.84,1600,1014,15.18,7
44,84.49,-255.59,1600,1064,81.73,8
45,232.15,-374.53,320,1029,51.24,7
46,-335.90,245.07,1600,1081,18.12,7
47,450.10,-447.47,400,1056,36.38,7
48,-323.79,-259.94,320,1020,40.34,7
49,232.65,156.56,320,1043,54.23,7
50,139.46,259.73,1600,1072,39.26,7
51,-365.10,20.21,1600,1076,54.97,7
52,-430.09,-295.34,800,1004,47.64,7
53,319.68,73.32,320,1022,78.03,8
54,-448.06,-342.19,320,1053,63.15,8
55,-295.67,389.96,1600,1086,26.85,7
