ID,X,Y,Channel,UF,Connected EDs
50051,377.22,419.53,0,0.26,287
50126,296.89,375.71,1,0.43,433
50087,393.15,361.81,2,0.50,508
50027,267.32,399.71,3,0.45,477
50073,385.53,479.40,4,0.30,299
50128,458.20,372.97,5,0.56,578
50010,457.66,481.05,6,0.28,297
50113,192.52,428.93,5,0.66,687
50036,322.60,214.27,4,0.56,597
50047,237.52,231.74,6,0.43,456
50045,201.31,219.64,7,0.11,108
50031,100.82,396.17,2,0.23,245
50105,101.44,382.57,4,0.23,251
50116,376.56,165.52,3,0.32,344
50043,178.27,220.45,8,0.37,397
50024,90.73,322.27,9,0.34,359
50050,188.07,184.91,10,0.27,285
50096,428.51,143.34,1,0.64,661
50066,57.88,473.84,1,0.30,310
50007,371.85,119.08,5,0.11,111
50117,67.81,292.62,11,0.41,409
50001,376.14,108.53,2,0.11,116
50079,252.16,113.52,9,0.35,382
50121,28.62,416.44,6,0.15,157
50000,21.36,400.69,7,0.15,151
50052,323.72,81.63,11,0.23,241
50102,-4.48,338.45,3,0.23,230
50016,-7.95,351.75,10,0.07,76
50076,281.98,57.39,12,0.48,513
50118,-11.71,349.79,12,0.03,26
50039,399.40,48.89,7,0.57,589
50067,150.12,95.23,1,0.28,283
50013,72.53,155.12,5,0.36,380
50084,-41.92,387.68,8,0.30,312
50136,-38.38,471.74,13,0.46,480
50060,16.87,190.04,13,0.58,605
50071,152.27,64.36,14,0.14,143
50030,144.92,54.61,3,0.18,193
50112,-55.12,327.61,14,0.24,251
50094,493.00,27.99,4,0.43,443
50049,83.78,78.53,2,0.19,203
50048,49.85,80.00,4,0.18,186
50023,-112.73,335.73,5,0.31,321
50053,35.80,58.48,6,0.30,307
50074,-93.73,230.63,1,0.58,589
50069,139.16,-25.10,7,0.67,707
50104,-162.69,387.17,2,0.59,621
50083,-164.09,365.83,4,0.18,187
50106,17.05,16.91,8,0.63,646
50004,269.97,-103.93,4,0.57,616
50130,-170.62,237.28,6,0.32,343
50061,258.97,-127.00,2,0.22,226
50110,-218.61,356.95,9,0.50,515
50011,364.11,-154.28,1,0.66,688
50075,-175.87,171.27,7,0.34,348
