ID,X,Y,Channel,UF,Connected EDs
50080,303.77,448.86,0,0.74,795
50025,247.37,354.18,1,0.68,709
50001,440.87,433.77,2,0.64,661
50076,441.28,358.22,3,0.50,522
50085,311.38,259.81,4,0.49,504
50042,426.49,285.55,5,0.51,526
50105,291.90,203.14,2,0.13,139
50074,125.53,382.41,3,0.68,718
50032,131.52,461.88,2,0.61,638
50089,321.92,187.46,6,0.28,306
50013,244.27,197.75,7,0.39,395
50057,440.68,189.29,1,0.50,520
50009,146.28,236.30,5,0.69,732
50092,276.65,133.48,3,0.24,257
50012,38.94,308.16,4,0.72,730
50082,437.13,106.49,8,0.45,463
50041,356.49,89.86,9,0.36,376
50072,256.71,78.60,10,0.40,434
50070,162.10,116.12,1,0.51,524
50104,45.73,198.64,6,0.39,421
50002,-26.63,441.04,1,0.76,783
50033,11.90,196.13,2,0.44,433
50034,413.71,19.42,4,0.19,202
50022,337.66,-3.87,5,0.33,352
50040,104.76,65.33,4,0.44,446
50027,447.42,4.15,2,0.35,359
50010,162.62,12.72,8,0.38,404
50037,-85.23,286.31,7,0.68,714
50005,-112.77,418.23,5,0.76,800
50065,395.19,-45.96,7,0.20,218
50064,219.61,-53.71,6,0.41,431
50030,370.80,-70.39,1,0.22,234
50063,-96.51,171.08,1,0.45,452
50052,-18.00,60.61,3,0.46,498
50059,309.09,-89.97,11,0.29,315
50068,73.99,-29.35,5,0.45,449
50106,118.68,-69.54,2,0.23,244
50099,266.16,-113.74,12,0.23,241
50100,-80.03,81.07,8,0.39,393
50096,-163.88,222.22,9,0.44,450
50071,147.18,-98.55,7,0.39,396
50026,460.54,-119.60,3,0.40,408
50095,-221.73,333.74,2,0.75,784
50083,-68.84,2.21,10,0.23,237
50015,-232.52,468.82,3,0.52,560
50047,253.29,-165.87,9,0.38,407
50006,-34.63,-41.13,6,0.41,435
50098,-194.91,149.94,4,0.55,592
50036,380.50,-186.30,8,0.64,669
50046,196.74,-181.11,3,0.49,512
50077,484.93,-183.83,6,0.33,326
50081,25.65,-116.27,1,0.57,603
50062,-130.86,7.09,7,0.35,347
50008,-271.95,219.10,3,0.41,426
50086,-155.77,-37.63,2,0.34,352
50090,-328.16,405.28,1,0.49,511
50028,-305.03,162.07,5,0.54,568
50078,-136.10,-113.21,4,0.46,496
50054,212.76,-286.94,1,0.52,544
50038,325.11,-305.97,2,0.52,559
50021,-254.44,10.85,11,0.70,735
50101,-363.65,283.57,6,0.56,599
50016,78.69,-258.51,4,0.76,821
50044,-17.87,-216.68,8,0.62,650
50014,441.67,-309.85,4,0.66,702
50075,-384.33,455.88,4,0.23,252
50003,-401.91,439.04,5,0.09,94
50056,259.15,-345.91,5,0.23,241
50035,-424.10,402.16,7,0.44,463
50055,-210.47,-137.65,3,0.35,363
50053,-112.14,-230.10,5,0.50,508
50050,231.65,-370.21,6,0.30,299
50018,-444.34,458.46,2,0.32,338
50051,-385.00,96.06,1,0.67,736
50073,-423.87,185.14,2,0.59,624
50024,-318.89,-42.60,6,0.57,583
50069,-183.39,-195.81,9,0.26,275
50084,-450.88,281.71,0,0.50,511
50091,126.41,-368.63,7,0.51,546
50103,394.53,-395.34,3,0.34,340
50017,362.16,-409.63,9,0.26,293
50023,272.57,-423.97,8,0.21,224
50045,-280.50,-152.89,1,0.45,453
50093,-47.27,-346.36,2,0.76,798
50007,-244.25,-209.81,10,0.21,236
50011,130.77,-433.88,3,0.46,493
50061,237.29,-458.15,4,0.32,339
50058,445.87,-457.69,1,0.46,487
50048,-192.78,-301.39,6,0.67,682
50031,-391.82,-97.74,4,0.40,421
50039,321.95,-483.33,0,0.24,254
50094,-459.01,2.99,3,0.58,606
50097,-276.50,-251.31,7,0.51,548
50066,29.82,-457.43,1,0.66,679
50000,-411.34,-165.64,2,0.37,377
50019,-468.62,-96.58,5,0.25,251
50004,-132.95,-437.42,3,0.63,651
50020,-485.62,-125.80,8,0.14,145
50088,-415.09,-249.68,11,0.44,457
50102,-461.64,-215.37,9,0.28,267
50060,-198.24,-454.58,4,0.48,516
50029,-286.43,-399.61,8,0.58,611
50087,-342.70,-379.66,5,0.38,400
50049,-459.13,-295.83,3,0.36,377
50043,-410.67,-368.89,1,0.42,420
50067,-397.75,-466.55,2,0.47,484
50079,-486.25,-436.06,0,0.33,331
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,50059,34.81,7
1,298.44,411.65,1600,50080,37.60,7
2,-164.78,268.23,800,50096,46.02,7
3,53.97,-22.60,400,50068,21.13,7
4,-135.22,13.40,320,50062,7.67,7
5,416.20,135.71,400,50082,35.95,7
6,-358.40,106.97,1600,50051,28.75,7
7,-257.11,-362.77,320,50029,47.08,7
8,-343.32,-99.06,1600,50031,48.52,7
9,-391.19,498.92,1600,50075,43.59,7
10,12.93,339.11,400,50012,40.43,7
11,-203.97,137.55,400,50098,15.34,7
12,-6.42,472.78,800,50002,37.62,7
13,271.36,26.74,320,50072,53.88,7
14,-99.77,391.53,800,50005,29.69,7
15,-147.54,307.72,320,50037,65.89,8
16,-430.24,449.33,400,50018,16.80,7
17,-413.94,-307.79,400,50049,46.74,7
18,390.23,-151.11,1600,50036,36.52,7
19,-479.98,-42.30,1600,50094,49.90,7
20,-261.72,470.63,320,50015,29.26,7
21,350.92,-233.33,400,50036,55.56,7
22,-124.79,260.25,400,50037,47.37,7
23,167.72,31.61,1600,50010,19.56,7
24,-62.36,431.84,320,50002,36.90,7
25,220.95,-215.71,400,50046,42.23,7
26,139.98,-145.95,400,50071,47.95,7
27,-334.03,-59.90,320,50024,22.98,7
28,329.20,-169.66,1600,50036,53.93,7
29,393.37,-149.64,400,50036,38.86,7
30,456.47,88.64,400,50082,26.31,7
31,358.68,-60.44,320,50030,15.69,7
32,-101.56,314.77,400,50037,32.81,7
33,410.97,-17.51,1600,50065,32.54,7
34,450.25,420.13,1600,50001,16.56,7
35,381.06,141.08,800,50041,56.81,7
36,119.60,-218.94,320,50016,56.91,7
37,-192.54,-52.97,1600,50086,39.85,7
38,-312.47,-223.77,400,50097,45.30,7
39,-83.50,-330.39,320,50093,39.59,7
40,-396.83,-373.92,800,50043,14.73,7
41,260.48,484.75,320,50080,56.23,7
42,184.45,-116.81,400,50071,41.50,7
43,-131.34,-205.84,1600,50053,30.93,7
44,84.49,-255.59,1600,50016,6.49,7
45,232.15,-374.53,320,50050,4.35,7
46,-335.90,245.07,1600,50101,47.45,7
47,450.10,-447.47,400,50058,11.06,7
48,-323.79,-259.94,320,50097,48.07,7
