ID,X,Y,Channel,UF,Connected EDs
10013,-181.45,-345.87,0,0.08,81
10051,-192.56,-322.09,1,0.06,65
10028,-284.61,-362.51,2,0.11,117
10030,-265.62,-301.26,3,0.06,70
10095,-108.40,-356.46,4,0.09,92
10052,-131.51,-447.98,5,0.10,114
10031,-336.72,-308.48,6,0.06,64
10085,-85.74,-294.77,7,0.06,68
10076,-300.32,-238.60,8,0.06,57
10036,-88.36,-275.79,9,0.05,51
10099,-332.37,-468.32,10,0.10,106
10024,-297.39,-200.29,11,0.07,67
10101,-393.70,-417.12,12,0.12,116
10065,-258.74,-174.52,13,0.07,81
10084,-412.90,-316.86,14,0.04,46
10012,-46.59,-487.23,15,0.08,73
10070,-63.91,-219.31,16,0.03,32
10000,-419.51,-316.37,17,0.04,43
10001,-60.77,-210.54,18,0.01,8
10050,-445.19,-394.91,19,0.07,84
10022,-94.29,-163.42,20,0.07,73
10096,-43.65,-200.18,21,0.04,44
10027,-413.16,-233.81,22,0.16,164
10049,-271.58,-130.97,23,0.07,72
10111,53.72,-368.25,24,0.07,65
10004,-125.06,-113.01,25,0.09,99
10056,56.43,-340.08,19,0.09,91
10104,-488.10,-342.29,24,0.03,36
10067,-40.06,-148.81,26,0.04,44
10117,75.81,-378.43,22,0.04,38
10055,-6.63,-153.98,27,0.05,54
10037,-247.93,-65.89,28,0.06,65
10077,63.77,-495.79,14,0.03,27
10019,80.23,-468.09,17,0.06,66
10064,72.12,-206.48,12,0.17,187
10071,-302.26,-41.32,15,0.06,57
10110,-174.80,-18.55,29,0.08,88
10108,-2.28,-87.08,10,0.05,53
10009,0.15,-83.77,30,0.07,79
10003,-419.75,-56.42,31,0.19,201
10092,160.26,-370.93,6,0.07,76
10046,-235.14,7.44,32,0.04,39
10058,-343.48,-10.96,33,0.04,41
10011,-315.50,5.19,34,0.04,41
10072,191.81,-424.37,8,0.09,92
10107,-198.96,48.51,5,0.06,57
10029,-363.10,25.76,35,0.06,63
10059,204.32,-308.20,11,0.07,76
10106,-253.86,62.74,36,0.06,57
10042,200.45,-243.12,31,0.02,19
10097,204.97,-254.21,2,0.02,19
10091,202.37,-234.18,33,0.06,70
10079,-18.75,44.20,14,0.12,132
10014,56.95,3.38,37,0.06,58
10038,-115.58,86.45,17,0.11,112
10073,120.20,-29.29,38,0.13,128
10102,49.81,33.66,39,0.05,57
10060,252.14,-247.46,3,0.11,115
10098,-388.37,96.46,4,0.21,220
10040,285.18,-408.40,13,0.04,38
10113,-243.33,133.97,19,0.06,70
10116,286.64,-491.32,1,0.03,27
10002,296.91,-464.59,23,0.03,34
10088,306.25,-355.33,28,0.10,95
10045,250.01,-118.41,32,0.19,202
10048,-250.61,165.00,2,0.13,142
10007,322.63,-385.74,25,0.02,22
10063,310.02,-484.55,10,0.03,36
10062,-130.57,175.00,1,0.10,104
10023,156.93,41.13,35,0.04,45
10086,182.38,22.31,40,0.08,81
10008,368.82,-377.89,5,0.07,73
10094,62.64,148.53,6,0.10,111
10018,16.87,191.45,8,0.05,67
10078,-25.18,215.54,3,0.13,118
10112,348.33,-124.81,4,0.14,151
